split,person,num_samples,mean_score,min_score,max_score,good_count,bad_count
test,P0,1,4.4082,4.4082,4.4082,1,0
test,P10,2,1.79,1.44,2.14,0,2
test,P11,1,4.56,4.56,4.56,1,0
test,P12,3,2.52,2.14,2.78,0,3
test,P5,1,4.58,4.58,4.58,1,0
test,P7,1,4.64,4.64,4.64,1,0
train,P0,1,4.44,4.44,4.44,1,0
train,P1,3,4.766666666666667,4.68,4.82,3,0
train,P10,2,4.05,3.78,4.32,1,1
train,P11,4,3.295,2.88,4.1,1,3
train,P12,2,4.15,3.66,4.64,1,1
train,P14,5,3.3560000000000003,1.98,4.74,2,3
train,P15,4,4.045,3.62,4.3,3,1
train,P2,3,4.6000000000000005,4.5,4.8,3,0
train,P3,2,4.57,4.56,4.58,2,0
train,P4,2,4.51,4.42,4.6,2,0
train,P5,2,4.62,4.62,4.62,2,0
train,P6,1,4.34,4.34,4.34,1,0
train,P7,2,4.5,4.44,4.56,2,0
train,P8,3,4.006666666666667,3.94,4.06,2,1
train,P9,2,3.55,3.4,3.7,0,2
valid,P0,1,4.4,4.4,4.4,1,0
valid,P10,1,2.58,2.58,2.58,0,1
valid,P15,1,3.3,3.3,3.3,0,1
valid,P3,1,4.6,4.6,4.6,1,0
valid,P4,1,4.68,4.68,4.68,1,0
valid,P6,2,4.46,4.42,4.5,2,0
valid,P9,1,3.4694,3.4694,3.4694,0,1
