split,person,num_samples,mean_score,min_score,max_score,good_count,bad_count
test,P0,3,4.4082,4.4082,4.4082,3,0
test,P10,3,2.14,2.14,2.14,0,3
test,P11,3,4.56,4.56,4.56,3,0
test,P12,9,2.5200000000000005,2.14,2.78,0,9
test,P5,3,4.62,4.62,4.62,3,0
test,P7,3,4.56,4.56,4.56,3,0
train,P0,3,4.44,4.44,4.44,3,0
train,P1,6,4.75,4.68,4.82,6,0
train,P10,6,4.050000000000001,3.78,4.32,3,3
train,P11,12,3.2950000000000013,2.88,4.1,3,9
train,P12,6,4.1499999999999995,3.66,4.64,3,3
train,P14,15,3.3559999999999994,1.98,4.74,6,9
train,P15,12,4.045,3.62,4.3,9,3
train,P2,9,4.6,4.5,4.8,9,0
train,P3,6,4.59,4.58,4.6,6,0
train,P4,6,4.550000000000001,4.42,4.68,6,0
train,P5,6,4.6000000000000005,4.58,4.62,6,0
train,P6,6,4.46,4.42,4.5,6,0
train,P7,6,4.54,4.44,4.64,6,0
train,P8,9,4.006666666666666,3.94,4.06,6,3
train,P9,6,3.5499999999999994,3.4,3.7,0,6
valid,P0,3,4.4,4.4,4.4,3,0
valid,P10,6,2.01,1.44,2.58,0,6
valid,P15,3,3.2999999999999994,3.3,3.3,0,3
valid,P3,3,4.56,4.56,4.56,3,0
valid,P4,3,4.6,4.6,4.6,3,0
valid,P6,3,4.34,4.34,4.34,3,0
valid,P9,3,3.4694,3.4694,3.4694,0,3
